model,src_group,target,hop,head,head_indeg,nbr_default,is_flip,clean_margin,margin_change
Qwen3.5-2B,hub,hub_1,d2,Townsville,21,Hub,0,3.2500,-3.1250
Qwen3.5-2B,hub,hub_1,d2,Townsville,21,Hub,1,1.7500,-1.6250
Qwen3.5-2B,hub,hub_1,d2,Townsville,21,Hub,0,3.0000,-1.3750
Qwen3.5-2B,hub,hub_1,d2,Hobart,10,Hub,0,4.6250,1.7500
Qwen3.5-2B,hub,hub_1,d2,Perth,67,Hub,0,2.2500,1.8750
Qwen3.5-2B,hub,hub_1,d2,Newcastle,9,Hub,0,4.7500,-1.6250
Qwen3.5-2B,hub,hub_1,d2,Newcastle,9,Hub,0,6.2500,3.0000
Qwen3.5-2B,hub,hub_1,d2,Brisbane,70,Hub,1,4.6250,0.5000
Qwen3.5-2B,hub,hub_1,d2,Wollongong,6,Mid,0,3.1250,-1.6250
Qwen3.5-2B,hub,hub_1,d3,Chris Hemsworth,3,Mid,0,2.8750,0.7500
Qwen3.5-2B,hub,hub_1,d3,Geelong Football Club,8,Hub,0,0.7500,7.0000
Qwen3.5-2B,hub,hub_1,d3,Geelong Football Club,8,Hub,0,3.0000,1.6250
Qwen3.5-2B,hub,hub_1,d3,Geelong Football Club,8,Hub,0,0.7500,4.8750
Qwen3.5-2B,hub,hub_1,d3,Geelong Football Club,8,Hub,0,1.0000,5.1250
Qwen3.5-2B,hub,hub_1,d3,Baz Luhrmann,8,Hub,0,3.0000,0.5000
Qwen3.5-2B,hub,hub_1,d3,Baz Luhrmann,8,Hub,0,3.3750,-3.1250
Qwen3.5-2B,hub,hub_1,d3,Baz Luhrmann,8,Hub,0,3.6250,-2.6250
Qwen3.5-2B,hub,hub_1,d3,Baz Luhrmann,8,Hub,0,2.7500,-2.0000
Qwen3.5-2B,hub,hub_1,d3,Baz Luhrmann,8,Hub,1,4.5000,-3.2500
Qwen3.5-2B,hub,hub_1,d3,Baz Luhrmann,8,Hub,1,4.2500,-2.2500
Qwen3.5-2B,hub,hub_1,d3,Coles Group,4,Mid,1,2.1250,3.6250
Qwen3.5-2B,hub,hub_1,d3,Western Power,3,Mid,1,1.3750,0.1250
Qwen3.5-2B,hub,hub_1,d3,University of Wollongong,2,Mid,1,7.0000,-1.6250
Qwen3.5-2B,hub,hub_1,d3,CSL Limited,8,Hub,0,1.7500,1.2500
Qwen3.5-2B,hub,hub_1,d3,John Williamson,4,Mid,1,3.6250,-1.7500
Qwen3.5-2B,hub,hub_1,d3,John Williamson,4,Mid,1,2.7500,-0.7500
Qwen3.5-2B,hub,hub_1,d3,Virgin Australia,3,Mid,1,0.0000,2.6250
Qwen3.5-2B,hub,hub_1,d3,Virgin Australia,3,Mid,1,6.0000,-1.1250
Qwen3.5-2B,hub,hub_1,d3,Ireland,704,Hub,0,5.3750,3.0000
Qwen3.5-2B,hub,hub_1,d3,Ireland,704,Hub,1,4.6250,-4.1250
Qwen3.5-2B,hub,hub_1,d3,Ireland,704,Hub,0,4.2500,-4.1250
Qwen3.5-2B,hub,hub_1,d3,Ireland,704,Hub,0,4.6250,-3.3750
Qwen3.5-2B,hub,hub_1,d3,Ireland,704,Hub,0,3.0000,-2.8750
Qwen3.5-2B,hub,hub_1,d3,Ireland,704,Hub,0,5.6250,-3.2500
Qwen3.5-2B,hub,hub_1,d3,Ireland,704,Hub,0,2.7500,-2.5000
Qwen3.5-2B,hub,hub_1,d3,Ireland,704,Hub,1,3.7500,-3.2500
Qwen3.5-2B,hub,hub_1,d3,Ireland,704,Hub,0,4.3750,-1.6250
Qwen3.5-2B,hub,hub_1,d3,Ireland,704,Hub,0,3.8750,-2.7500
Qwen3.5-2B,hub,hub_1,d3,Ireland,704,Hub,0,3.2500,-1.5000
Qwen3.5-2B,hub,hub_1,d3,Ireland,704,Hub,0,3.6250,-3.3750
Qwen3.5-2B,hub,hub_1,d3,Ireland,704,Hub,0,3.2500,-2.1250
Qwen3.5-2B,hub,hub_1,d3,Ireland,704,Hub,0,0.5000,-0.5000
Qwen3.5-2B,hub,hub_1,d3,Ireland,704,Hub,0,3.2500,-2.8750
Qwen3.5-2B,hub,hub_1,d3,Ireland,704,Hub,1,2.2500,-1.8750
Qwen3.5-2B,hub,hub_1,d3,Suncorp Group,5,Mid,1,1.3750,4.3750
Qwen3.5-2B,hub,hub_1,d3,Katherine Kelly Lang,3,Mid,0,5.6250,1.5000
Qwen3.5-2B,hub,hub_1,d3,Orica,4,Mid,1,3.1250,1.3750
Qwen3.5-2B,hub,hub_1,d3,Tabcorp,4,Mid,1,3.8750,2.2500
Qwen3.5-2B,hub,hub_1,d3,Northern Ireland,26,Hub,0,2.0000,-1.6250
Qwen3.5-2B,hub,hub_1,d3,Northern Ireland,26,Hub,0,1.5000,0.6250
Qwen3.5-2B,hub,hub_1,d3,Northern Ireland,26,Hub,0,0.7500,3.2500
Qwen3.5-2B,hub,hub_1,d3,Northern Ireland,26,Hub,0,0.1250,2.6250
Qwen3.5-2B,hub,hub_1,d3,Northern Ireland,26,Hub,0,1.1250,-0.2500
Qwen3.5-2B,hub,hub_1,d3,Northern Ireland,26,Hub,0,0.7500,0.7500
Qwen3.5-2B,hub,hub_1,d3,Townsville Museum,4,Mid,0,1.7500,0.7500
Qwen3.5-2B,hub,hub_1,d3,Townsville Port,4,Mid,1,2.1250,6.2500
Qwen3.5-2B,hub,hub_1,d3,Wesfarmers,7,Mid,1,5.6250,0.7500
Qwen3.5-2B,hub,hub_1,d3,Bhp,3,Mid,0,3.0000,0.5000
Qwen3.5-2B,hub,hub_1,d3,Bhp,3,Mid,1,3.3750,-1.5000
Qwen3.5-2B,hub,hub_1,d3,Jamaica,114,Hub,0,5.3750,1.1250
Qwen3.5-2B,hub,hub_1,d3,Jamaica,114,Hub,0,5.1250,-4.2500
Qwen3.5-2B,hub,hub_1,d3,Jamaica,114,Hub,0,3.6250,-2.1250
Qwen3.5-2B,hub,hub_1,d3,Jamaica,114,Hub,0,3.5000,2.2500
Qwen3.5-2B,hub,hub_1,d3,Jamaica,114,Hub,0,4.1250,1.1250
Qwen3.5-2B,hub,hub_1,d3,Jamaica,114,Hub,0,4.2500,-1.5000
Qwen3.5-2B,hub,hub_1,d3,Jamaica,114,Hub,1,0.7500,-0.6250
Qwen3.5-2B,hub,hub_1,d3,Jamaica,114,Hub,0,3.3750,-1.7500
Qwen3.5-2B,hub,hub_1,d3,Jamaica,114,Hub,0,1.7500,1.8750
Qwen3.5-2B,hub,hub_1,d3,Flight Centre,2,Mid,1,4.0000,1.0000
Qwen3.5-2B,hub,hub_1,d3,Ford Australia,2,Mid,0,1.7500,-1.0000
Qwen3.5-2B,hub,hub_1,d3,Australian Labor Party,7,Mid,1,4.6250,0.2500
Qwen3.5-2B,hub,hub_1,d3,Iggy Azalea,5,Mid,1,1.0000,7.3750
Qwen3.5-2B,hub,hub_1,d3,University of Sydney,74,Hub,1,6.6250,-1.7500
Qwen3.5-2B,hub,hub_1,d3,Ricky Ponting,5,Mid,1,4.6250,2.5000
Qwen3.5-2B,hub,hub_1,d3,Gold Coast Titans,5,Mid,0,3.1250,3.6250
Qwen3.5-2B,hub,hub_1,d3,Gold Coast Titans,5,Mid,0,2.3750,1.7500
Qwen3.5-2B,hub,hub_1,d3,Gold Coast Titans,5,Mid,0,4.8750,-0.8750
Qwen3.5-2B,hub,hub_1,d3,National Australia Bank,6,Mid,1,4.1250,-2.5000
Qwen3.5-2B,hub,hub_1,d3,Townsville Fire,3,Mid,1,1.2500,1.6250
Qwen3.5-2B,hub,hub_1,d3,Townsville Fire,3,Mid,0,3.7500,-0.6250
Qwen3.5-2B,hub,hub_1,d3,Somerset College,4,Mid,1,2.1250,1.3750
Qwen3.5-2B,hub,hub_1,d3,Somerset College,4,Mid,0,1.3750,3.1250
Qwen3.5-2B,hub,hub_1,d3,Greg Norman,4,Mid,0,0.0000,5.8750
Qwen3.5-2B,hub,hub_1,d3,Canada,1654,Hub,0,4.1250,2.7500
Qwen3.5-2B,hub,hub_1,d3,Canada,1654,Hub,0,4.8750,-3.5000
Qwen3.5-2B,hub,hub_1,d3,Canada,1654,Hub,0,3.3750,-3.0000
Qwen3.5-2B,hub,hub_1,d3,Canada,1654,Hub,0,5.5000,-3.5000
Qwen3.5-2B,hub,hub_1,d3,Canada,1654,Hub,0,5.3750,-4.2500
Qwen3.5-2B,hub,hub_1,d3,Canada,1654,Hub,0,5.1250,-3.5000
Qwen3.5-2B,hub,hub_1,d3,Canada,1654,Hub,0,4.3750,0.2500
Qwen3.5-2B,hub,hub_1,d3,Canada,1654,Hub,0,4.2500,-1.2500
Qwen3.5-2B,hub,hub_1,d3,Canada,1654,Hub,0,2.1250,-0.6250
Qwen3.5-2B,hub,hub_1,d3,Canada,1654,Hub,0,4.1250,-2.0000
Qwen3.5-2B,hub,hub_1,d3,Canada,1654,Hub,0,4.1250,-0.1250
Qwen3.5-2B,hub,hub_1,d3,Canada,1654,Hub,0,3.1250,-0.6250
Qwen3.5-2B,hub,hub_1,d3,Canada,1654,Hub,0,5.3750,-4.2500
Qwen3.5-2B,hub,hub_1,d3,Canada,1654,Hub,0,5.2500,-5.0000
Qwen3.5-2B,hub,hub_1,d3,Canada,1654,Hub,0,4.2500,-0.5000
Qwen3.5-2B,hub,hub_1,d3,Canada,1654,Hub,0,4.0000,-0.2500
Qwen3.5-2B,hub,hub_1,d3,Canada,1654,Hub,0,4.8750,-2.2500
Qwen3.5-2B,hub,hub_1,d3,Canada,1654,Hub,0,4.5000,-0.5000
Qwen3.5-2B,hub,hub_1,d3,Canada,1654,Hub,0,5.2500,-1.0000
Qwen3.5-2B,hub,hub_1,d3,Canada,1654,Hub,1,1.6250,-0.6250
Qwen3.5-2B,hub,hub_1,d3,Qantas,6,Mid,1,5.0000,-0.3750
Qwen3.5-2B,hub,hub_1,d3,Qantas,6,Mid,1,0.2500,3.0000
Qwen3.5-2B,hub,hub_1,d3,Qantas,6,Mid,1,3.0000,2.0000
Qwen3.5-2B,hub,hub_1,d3,Queensland Government,23,Hub,0,1.8750,-0.3750
Qwen3.5-2B,hub,hub_1,d3,North Queensland Cowboys,6,Mid,0,4.3750,-0.1250
Qwen3.5-2B,hub,hub_1,d3,North Queensland Cowboys,6,Mid,0,1.7500,3.7500
Qwen3.5-2B,hub,hub_1,d3,Trinidad and Tobago,63,Hub,0,6.2500,2.8750
Qwen3.5-2B,hub,hub_1,d3,Trinidad and Tobago,63,Hub,0,1.8750,-1.1250
Qwen3.5-2B,hub,hub_1,d3,Trinidad and Tobago,63,Hub,1,0.7500,0.0000
Qwen3.5-2B,hub,hub_1,d3,Trinidad and Tobago,63,Hub,0,5.1250,-1.1250
Qwen3.5-2B,hub,hub_1,d3,Trinidad and Tobago,63,Hub,0,1.7500,1.6250
Qwen3.5-2B,hub,hub_1,d3,Trinidad and Tobago,63,Hub,0,4.6250,-2.6250
Qwen3.5-2B,hub,hub_1,d3,Trinidad and Tobago,63,Hub,0,0.3750,1.1250
Qwen3.5-2B,hub,hub_1,d3,Trinidad and Tobago,63,Hub,0,2.1250,0.0000
Qwen3.5-2B,hub,hub_1,d3,Trinidad and Tobago,63,Hub,0,3.2500,-1.5000
Qwen3.5-2B,hub,hub_1,d3,Trinidad and Tobago,63,Hub,0,0.3750,1.5000
Qwen3.5-2B,hub,hub_1,d3,Trinidad and Tobago,63,Hub,0,1.8750,2.0000
Qwen3.5-2B,hub,hub_1,d3,Trinidad and Tobago,63,Hub,0,2.8750,1.2500
Qwen3.5-2B,hub,hub_1,d3,Trinidad and Tobago,63,Hub,0,1.1250,1.0000
Qwen3.5-2B,hub,hub_1,d3,Trinidad and Tobago,63,Hub,0,0.1250,0.8750
Qwen3.5-2B,hub,hub_1,d3,Trinidad and Tobago,63,Hub,0,0.6250,-0.2500
Qwen3.5-2B,hub,hub_1,d3,Trinidad and Tobago,63,Hub,0,7.8750,0.5000
Qwen3.5-2B,hub,hub_1,d3,Trinidad and Tobago,63,Hub,0,4.2500,-1.3750
Qwen3.5-2B,hub,hub_1,d3,Rio Tinto,5,Mid,1,5.0000,0.5000
Qwen3.5-2B,hub,hub_1,d3,Rio Tinto,5,Mid,0,6.2500,0.6250
Qwen3.5-2B,hub,hub_1,d3,Rio Tinto,5,Mid,1,0.6250,2.5000
Qwen3.5-2B,hub,hub_1,d3,Rio Tinto,5,Mid,1,6.0000,-1.5000
Qwen3.5-2B,hub,hub_1,d3,South Africa,210,Hub,0,3.7500,2.8750
Qwen3.5-2B,hub,hub_1,d3,South Africa,210,Hub,0,3.0000,0.3750
Qwen3.5-2B,hub,hub_1,d3,South Africa,210,Hub,0,6.7500,-3.6250
Qwen3.5-2B,hub,hub_1,d3,South Africa,210,Hub,0,3.3750,-1.1250
Qwen3.5-2B,hub,hub_1,d3,Woodside Energy,5,Mid,1,5.6250,2.7500
Qwen3.5-2B,hub,hub_1,d3,Woodside Energy,5,Mid,0,5.7500,1.3750
Qwen3.5-2B,hub,hub_1,d3,Luke Hemsworth,2,Mid,0,1.2500,3.7500
Qwen3.5-2B,hub,hub_1,d3,Toni Collette,4,Mid,0,5.0000,2.0000
Qwen3.5-2B,hub,hub_1,d3,Scotland,358,Hub,0,2.7500,2.5000
Qwen3.5-2B,hub,hub_1,d3,Scotland,358,Hub,0,6.6250,-4.0000
Qwen3.5-2B,hub,hub_1,d3,Scotland,358,Hub,0,3.1250,-1.7500
Qwen3.5-2B,hub,hub_1,d3,Scotland,358,Hub,0,1.7500,-1.1250
Qwen3.5-2B,hub,hub_1,d3,Scotland,358,Hub,0,2.7500,-1.0000
Qwen3.5-2B,hub,hub_1,d3,Scotland,358,Hub,0,3.6250,0.2500
Qwen3.5-2B,hub,hub_1,d3,Scotland,358,Hub,0,1.7500,0.5000
Qwen3.5-2B,hub,hub_1,d3,Scotland,358,Hub,0,3.2500,-1.8750
Qwen3.5-2B,hub,hub_1,d3,Scotland,358,Hub,0,3.3750,-2.7500
Qwen3.5-2B,hub,hub_1,d3,Scotland,358,Hub,0,3.7500,-1.6250
Qwen3.5-2B,hub,hub_1,d3,Aurizon,4,Mid,1,2.8750,-1.5000
Qwen3.5-2B,hub,hub_1,d3,Liam Hemsworth,3,Mid,0,6.0000,-0.5000
Qwen3.5-2B,hub,hub_1,d3,United Kingdom,7054,Hub,0,2.3750,5.7500
Qwen3.5-2B,hub,hub_1,d3,United Kingdom,7054,Hub,0,1.5000,3.3750
Qwen3.5-2B,hub,hub_1,d3,United Kingdom,7054,Hub,0,0.0000,6.0625
Qwen3.5-2B,hub,hub_1,d3,United Kingdom,7054,Hub,0,2.3750,-2.2500
Qwen3.5-2B,hub,hub_1,d3,United Kingdom,7054,Hub,0,1.1250,3.0000
Qwen3.5-2B,hub,hub_1,d3,United Kingdom,7054,Hub,0,3.2500,-0.1250
Qwen3.5-2B,hub,hub_1,d3,Hugh Jackman,2,Mid,0,0.6250,6.0000
Qwen3.5-2B,hub,hub_1,d3,Isabel Lucas,4,Mid,1,1.6250,2.0000
Qwen3.5-2B,hub,hub_1,d3,Victoria,53,Hub,0,7.0000,1.5000
Qwen3.5-2B,hub,hub_1,d3,John Hirst,2,Mid,1,2.7500,0.1250
Qwen3.5-2B,hub,hub_1,d3,Bendigo and Adelaide Bank,5,Mid,0,0.7500,2.3750
Qwen3.5-2B,hub,hub_1,d3,Bendigo and Adelaide Bank,5,Mid,1,2.8750,1.8750
Qwen3.5-2B,hub,hub_1,d3,Bendigo and Adelaide Bank,5,Mid,0,1.0000,0.2500
Qwen3.5-2B,hub,hub_1,d3,Telstra,4,Mid,1,5.3750,-2.5000
Qwen3.5-2B,hub,hub_1,d3,United States,17029,Hub,0,3.1250,6.1250
Qwen3.5-2B,hub,hub_1,d3,United States,17029,Hub,0,7.0000,2.8750
Qwen3.5-2B,hub,hub_1,d3,United States,17029,Hub,0,7.1250,2.0000
Qwen3.5-2B,hub,hub_1,d3,United States,17029,Hub,0,7.6250,2.2500
Qwen3.5-2B,hub,hub_1,d3,United States,17029,Hub,0,6.5000,2.3750
Qwen3.5-2B,hub,hub_1,d3,United States,17029,Hub,0,6.6250,1.6250
Qwen3.5-2B,hub,hub_1,d3,United States,17029,Hub,0,5.8750,4.0000
Qwen3.5-2B,hub,hub_1,d3,United States,17029,Hub,0,6.0000,2.8750
Qwen3.5-2B,hub,hub_1,d3,United States,17029,Hub,0,6.8750,2.0000
Qwen3.5-2B,hub,hub_1,d3,United States,17029,Hub,0,7.6250,-0.3750
Qwen3.5-2B,hub,hub_1,d3,United States,17029,Hub,0,4.8750,1.2500
Qwen3.5-2B,hub,hub_1,d3,United States,17029,Hub,0,6.5000,2.5000
Qwen3.5-2B,hub,hub_1,d3,United States,17029,Hub,0,5.5000,1.7500
Qwen3.5-2B,hub,hub_1,d3,United States,17029,Hub,0,5.2500,-0.2500
Qwen3.5-2B,hub,hub_1,d3,United States,17029,Hub,0,4.6250,-3.2500
Qwen3.5-2B,hub,hub_1,d3,United States,17029,Hub,0,3.5000,-2.0000
Qwen3.5-2B,hub,hub_1,d3,United States,17029,Hub,0,5.7500,-3.7500
Qwen3.5-2B,hub,hub_1,d3,United States,17029,Hub,1,4.5000,-3.7500
Qwen3.5-2B,hub,hub_1,d3,United States,17029,Hub,1,4.1250,-3.8750
Qwen3.5-2B,hub,hub_1,d3,United States,17029,Hub,1,3.1250,-2.8750
Qwen3.5-2B,hub,hub_1,d3,United States,17029,Hub,0,4.8750,-1.1250
Qwen3.5-2B,hub,hub_1,d3,United States,17029,Hub,0,2.2500,0.2500
Qwen3.5-2B,hub,hub_1,d3,United States,17029,Hub,1,0.0000,5.2500
Qwen3.5-2B,hub,hub_1,d3,United States,17029,Hub,0,1.2500,-0.6250
Qwen3.5-2B,hub,hub_1,d3,Newcastle United F.C.,7,Mid,0,5.6250,3.6250
Qwen3.5-2B,hub,hub_1,d3,Newcastle United F.C.,7,Mid,0,4.0000,5.2500
Qwen3.5-2B,hub,hub_1,d3,Newcastle United F.C.,7,Mid,0,0.1250,5.2500
Qwen3.5-2B,hub,hub_1,d3,Barbados,37,Hub,0,6.1250,3.2500
Qwen3.5-2B,hub,hub_1,d3,Barbados,37,Hub,0,6.1250,1.0000
Qwen3.5-2B,hub,hub_1,d3,Barbados,37,Hub,0,6.5000,-0.2500
Qwen3.5-2B,hub,hub_1,d3,Barbados,37,Hub,0,4.1250,-1.7500
Qwen3.5-2B,hub,hub_1,d3,Barbados,37,Hub,0,5.5000,1.8750
Qwen3.5-2B,hub,hub_1,d3,Barbados,37,Hub,0,7.5000,0.2500
Qwen3.5-2B,hub,hub_1,d3,Townsville Hospital,4,Mid,1,3.5000,3.0000
Qwen3.5-2B,hub,hub_1,d3,Nicole Kidman,6,Mid,0,6.6250,0.6250
Qwen3.5-2B,hub,hub_1,d4,San Diego,86,Hub,1,2.3750,1.5000
Qwen3.5-2B,hub,hub_1,d4,Lerwick,2,Mid,0,2.0000,2.5000
Qwen3.5-2B,hub,hub_1,d4,Malta,61,Hub,0,2.0000,-1.0000
Qwen3.5-2B,hub,hub_1,d4,Chicago,496,Hub,0,4.2500,1.4375
Qwen3.5-2B,hub,hub_1,d4,Porsche,4,Mid,0,4.5000,4.1250
Qwen3.5-2B,hub,hub_1,d4,Honolulu,53,Hub,0,0.6250,4.3750
Qwen3.5-2B,hub,hub_1,d4,San Francisco,626,Hub,0,5.7500,1.8750
Qwen3.5-2B,hub,hub_1,d4,Walt Disney Studios,22,Hub,0,2.6250,4.7500
Qwen3.5-2B,hub,hub_1,d4,Malta,61,Hub,0,1.7500,0.1250
Qwen3.5-2B,hub,hub_1,d4,Lerwick,2,Mid,0,3.5000,0.0000
Qwen3.5-2B,hub,hub_1,d4,Lisburn,4,Mid,0,2.7500,1.8750
Qwen3.5-2B,hub,hub_1,d4,Armagh,7,Mid,0,6.6250,-0.7500
Qwen3.5-2B,hub,hub_1,d4,Galway,11,Hub,0,7.2500,-2.0000
Qwen3.5-2B,hub,hub_1,d4,Montreal,188,Hub,0,2.8750,-1.6875
Qwen3.5-2B,hub,hub_1,d4,Toronto,312,Hub,0,3.3750,1.1250
Qwen3.5-2B,hub,hub_1,d4,Alcoa Corporation,4,Mid,0,3.3750,4.5000
Qwen3.5-2B,hub,hub_1,d4,Seattle,215,Hub,0,1.8750,0.7500
Qwen3.5-2B,hub,hub_1,d4,Hamilton,31,Hub,1,4.3750,2.2500
Qwen3.5-2B,hub,hub_1,d4,San Francisco,626,Hub,0,5.7500,2.3750
Qwen3.5-2B,hub,hub_1,d4,Toronto,312,Hub,0,0.6250,0.6250
Qwen3.5-2B,hub,hub_1,d4,Chicago,496,Hub,0,6.5000,-0.1250
Qwen3.5-2B,hub,hub_1,d4,University of Technology Sydney,6,Mid,0,5.7500,-0.7500
Qwen3.5-2B,hub,hub_1,d4,Delhi Capitals,1,Tail,0,3.5000,1.3750
Qwen3.5-2B,hub,hub_1,d4,Hereditary,3,Mid,1,0.2500,2.5625
Qwen3.5-2B,hub,hub_1,d4,Washington D.C.,4,Mid,0,7.0000,-1.0000
Qwen3.5-2B,hub,hub_1,d4,Edinburgh,233,Hub,0,2.2500,1.7500
Qwen3.5-2B,hub,hub_1,d4,Lerwick,2,Mid,0,0.8750,1.3750
Qwen3.5-2B,hub,hub_1,d4,Manchester,151,Hub,0,5.6250,1.6250
Qwen3.5-2B,hub,hub_1,d4,Drogheda,3,Mid,0,5.7500,-3.1250
Qwen3.5-2B,hub,hub_1,d4,Columbus,57,Hub,0,6.0000,1.6250
Qwen3.5-2B,hub,hub_1,d4,Houston,126,Hub,0,6.1250,1.7500
Qwen3.5-2B,hub,hub_1,d4,Houston,126,Hub,0,3.3750,3.0000
Qwen3.5-2B,hub,hub_1,d4,Halifax,32,Hub,0,5.7500,-2.8750
Qwen3.5-2B,hub,hub_1,d4,Chicago,496,Hub,0,5.0000,-0.6250
Qwen3.5-2B,hub,hub_1,d4,Halifax,32,Hub,0,2.1250,5.3750
Qwen3.5-2B,hub,hub_1,d4,Galway,11,Hub,0,6.2500,-1.8750
Qwen3.5-2B,hub,hub_1,d4,King Charles III,9,Hub,0,1.7500,3.0000
Qwen3.5-2B,hub,hub_1,d4,Manchester,151,Hub,0,4.0000,-3.1250
Qwen3.5-2B,hub,hub_1,d4,San Francisco,626,Hub,0,7.8750,-0.5000
Qwen3.5-2B,hub,hub_1,d4,Saskatoon,12,Hub,0,4.3750,0.7500
Qwen3.5-2B,hub,hub_1,d4,Dublin,341,Hub,0,2.5000,-0.7500
Qwen3.5-2B,hub,hub_1,d4,Newcastle upon Tyne,42,Hub,0,5.5000,-0.3750
Qwen3.5-2B,hub,hub_1,d4,"London, Ontario",13,Hub,0,6.3750,-3.3750
Qwen3.5-2B,hub,hub_1,d4,Spanish Town,2,Mid,0,3.6250,1.1250
